sep=,
x1,x2,resut,ideal
-1.301064,-3.078126,0.754933,0.961902
-1.237597,-3.078126,0.737739,0.943098
-1.174131,-3.078126,0.719686,0.920497
-1.110664,-3.078126,0.700693,0.894190
-1.047198,-3.078126,0.680669,0.864282
-0.983731,-3.078126,0.659503,0.830894
-0.920265,-3.078126,0.637064,0.794160
-0.856798,-3.078126,0.613199,0.754228
-0.793331,-3.078126,0.587724,0.711259
-0.729865,-3.078126,0.560419,0.665427
-0.666398,-3.078126,0.531017,0.616914
-0.602932,-3.078126,0.498978,0.565918
-0.539465,-3.078126,0.463444,0.512643
-0.475999,-3.078126,0.423857,0.457304
-0.412532,-3.078126,0.379519,0.400123
-0.349066,-3.078126,0.330166,0.341332
-0.285599,-3.078126,0.278345,0.281165
-0.222133,-3.078126,0.223858,0.219867
-0.158666,-3.078126,0.165868,0.157683
-0.095200,-3.078126,0.103338,0.094865
-0.031733,-3.078126,0.034944,0.031664
0.031733,-3.078126,-0.039446,-0.031664
0.095200,-3.078126,-0.112749,-0.094865
0.158666,-3.078126,-0.181650,-0.157683
0.222133,-3.078126,-0.244200,-0.219867
0.285599,-3.078126,-0.301471,-0.281165
0.349066,-3.078126,-0.354292,-0.341332
0.412532,-3.078126,-0.403305,-0.400123
0.475999,-3.078126,-0.449025,-0.457304
0.539465,-3.078126,-0.491859,-0.512643
0.602932,-3.078126,-0.532130,-0.565918
0.666398,-3.078126,-0.569758,-0.616914
0.729865,-3.078126,-0.604888,-0.665427
0.793331,-3.078126,-0.637794,-0.711259
0.856798,-3.078126,-0.668697,-0.754228
0.920265,-3.078126,-0.697773,-0.794160
0.983731,-3.078126,-0.725157,-0.830894
1.047198,-3.078126,-0.750953,-0.864282
1.110664,-3.078126,-0.775232,-0.894190
1.174131,-3.078126,-0.798040,-0.920497
1.237597,-3.078126,-0.819392,-0.943098
1.301064,-3.078126,-0.839027,-0.961902
1.364530,-3.078126,-0.855637,-0.976832
1.427997,-3.078126,-0.869273,-0.987829
1.491463,-3.078126,-0.880085,-0.994848
1.554930,-3.078126,-0.888061,-0.997861
1.618396,-3.078126,-0.893275,-0.996856
1.681863,-3.078126,-0.895743,-0.991838
1.745329,-3.078126,-0.895409,-0.982825
1.808796,-3.078126,-0.892136,-0.969855
1.872262,-3.078126,-0.885698,-0.952980
1.935729,-3.078126,-0.875666,-0.932267
1.999195,-3.078126,-0.861312,-0.907801
2.062662,-3.078126,-0.841904,-0.879679
2.126128,-3.078126,-0.820626,-0.848015
2.189595,-3.078126,-0.801116,-0.812936
2.253061,-3.078126,-0.782847,-0.774584
2.316528,-3.078126,-0.765337,-0.733113
2.379994,-3.078126,-0.748128,-0.688690
2.443461,-3.078126,-0.730765,-0.641493
2.506927,-3.078126,-0.712775,-0.591714
2.570394,-3.078126,-0.693636,-0.539552
2.633861,-3.078126,-0.674436,-0.485218
2.697327,-3.078126,-0.656997,-0.428930
2.760794,-3.078126,-0.641207,-0.370914
2.824260,-3.078126,-0.626944,-0.311405
2.887727,-3.078126,-0.614078,-0.250642
2.951193,-3.078126,-0.602479,-0.188870
3.014660,-3.078126,-0.592016,-0.126338
3.078126,-3.078126,-0.582560,-0.063296
3.141593,-3.078126,-0.573989,0.000000
-3.141593,-3.014660,0.652915,0.000000
-3.078126,-3.014660,0.660155,0.062914
-3.014660,-3.014660,0.668193,0.125574
-2.951193,-3.014660,0.677056,0.187729
-2.887727,-3.014660,0.686096,0.249127
-2.824260,-3.014660,0.694811,0.309523
-2.760794,-3.014660,0.703279,0.368672
-2.697327,-3.014660,0.711572,0.426337
-2.633861,-3.014660,0.719764,0.482285
-2.570394,-3.014660,0.727927,0.536291
-2.506927,-3.014660,0.736136,0.588138
-2.443461,-3.014660,0.744471,0.637616
-2.379994,-3.014660,0.753019,0.684527
-2.316528,-3.014660,0.761877,0.728682
-2.253061,-3.014660,0.771157,0.769902
-2.189595,-3.014660,0.780985,0.808023
-2.126128,-3.014660,0.791516,0.842889
-2.062662,-3.014660,0.801026,0.874362
-1.999195,-3.014660,0.807700,0.902314
-1.935729,-3.014660,0.811736,0.926632
-1.872262,-3.014660,0.813523,0.947220
-1.808796,-3.014660,0.813435,0.963993
-1.745329,-3.014660,0.811531,0.976885
-1.681863,-3.014660,0.807831,0.985843
-1.618396,-3.014660,0.802326,0.990831
-1.554930,-3.014660,0.794969,0.991830
-1.491463,-3.014660,0.785678,0.988835
-1.427997,-3.014660,0.774335,0.981858
-1.364530,-3.014660,0.760773,0.970928
-1.301064,-3.014660,0.745090,0.956088
-1.237597,-3.014660,0.728451,0.937398
-1.174131,-3.014660,0.710936,0.914934
-1.110664,-3.014660,0.692472,0.888785
-1.047198,-3.014660,0.672970,0.859058
-0.983731,-3.014660,0.652324,0.825872
-0.920265,-3.014660,0.630410,0.789360
-0.856798,-3.014660,0.607080,0.749669
-0.793331,-3.014660,0.582155,0.706960
-0.729865,-3.014660,0.555423,0.661405
-0.666398,-3.014660,0.526626,0.613186
-0.602932,-3.014660,0.495367,0.562498
-0.539465,-3.014660,0.460715,0.509545
-0.475999,-3.014660,0.422051,0.454540
-0.412532,-3.014660,0.378698,0.397705
-0.349066,-3.014660,0.330151,0.339269
-0.285599,-3.014660,0.278900,0.279466
-0.222133,-3.014660,0.225047,0.218538
-0.158666,-3.014660,0.167764,0.156730
-0.095200,-3.014660,0.106032,0.094291
-0.031733,-3.014660,0.038548,0.031473
0.031733,-3.014660,-0.035127,-0.031473
0.095200,-3.014660,-0.108073,-0.094291
0.158666,-3.014660,-0.176495,-0.156730
0.222133,-3.014660,-0.238626,-0.218538
0.285599,-3.014660,-0.295523,-0.279466
0.349066,-3.014660,-0.348001,-0.339269
0.412532,-3.014660,-0.396692,-0.397705
0.475999,-3.014660,-0.442103,-0.454540
0.539465,-3.014660,-0.484634,-0.509545
0.602932,-3.014660,-0.524615,-0.562498
0.666398,-3.014660,-0.562214,-0.613186
0.729865,-3.014660,-0.597308,-0.661405
0.793331,-3.014660,-0.630125,-0.706960
0.856798,-3.014660,-0.660889,-0.749669
0.920265,-3.014660,-0.689771,-0.789360
0.983731,-3.014660,-0.716906,-0.825872
1.047198,-3.014660,-0.742393,-0.859058
1.110664,-3.014660,-0.766297,-0.888785
1.174131,-3.014660,-0.788656,-0.914934
1.237597,-3.014660,-0.809476,-0.937398
1.301064,-3.014660,-0.828500,-0.956088
1.364530,-3.014660,-0.844445,-0.970928
1.427997,-3.014660,-0.857343,-0.981858
1.491463,-3.014660,-0.867239,-0.988835
1.554930,-3.014660,-0.874185,-0.991830
1.618396,-3.014660,-0.878242,-0.990831
1.681863,-3.014660,-0.879390,-0.985843
1.745329,-3.014660,-0.877531,-0.976885
1.808796,-3.014660,-0.872473,-0.963993
1.872262,-3.014660,-0.863896,-0.947220
1.935729,-3.014660,-0.851106,-0.926632
1.999195,-3.014660,-0.833377,-0.902314
2.062662,-3.014660,-0.811667,-0.874362
2.126128,-3.014660,-0.791437,-0.842889
2.189595,-3.014660,-0.772624,-0.808023
2.253061,-3.014660,-0.754716,-0.769902
2.316528,-3.014660,-0.737231,-0.728682
2.379994,-3.014660,-0.719696,-0.684527
2.443461,-3.014660,-0.701623,-0.637616
2.506927,-3.014660,-0.682486,-0.588138
2.570394,-3.014660,-0.662851,-0.536291
2.633861,-3.014660,-0.644971,-0.482285
2.697327,-3.014660,-0.628819,-0.426337
2.760794,-3.014660,-0.614265,-0.368672
2.824260,-3.014660,-0.601174,-0.309523
2.887727,-3.014660,-0.589407,-0.249127
2.951193,-3.014660,-0.578826,-0.187729
3.014660,-3.014660,-0.569296,-0.125574
3.078126,-3.014660,-0.560686,-0.062914
3.141593,-3.014660,-0.552871,0.000000
-3.141593,-2.951193,0.630801,0.000000
-3.078126,-2.951193,0.637327,0.062278
-3.014660,-2.951193,0.644650,0.124305
-2.951193,-2.951193,0.652789,0.185831
-2.887727,-2.951193,0.661770,0.246609
-2.824260,-2.951193,0.670884,0.306395
-2.760794,-2.951193,0.679655,0.364946
-2.697327,-2.951193,0.688163,0.422028
-2.633861,-2.951193,0.696485,0.477411
-2.570394,-2.951193,0.704698,0.530871
-2.506927,-2.951193,0.712878,0.582193
-2.443461,-2.951193,0.721103,0.631172
-2.379994,-2.951193,0.729460,0.677608
-2.316528,-2.951193,0.738040,0.721317
-2.253061,-2.951193,0.746947,0.762120
-2.189595,-2.951193,0.756300,0.799856
-2.126128,-2.951193,0.766239,0.834370
-2.062662,-2.951193,0.776844,0.865524
-1.999195,-2.951193,0.785594,0.893194
-1.935729,-2.951193,0.791424,0.917267
-1.872262,-2.951193,0.794715,0.937646
-1.808796,-2.951193,0.795949,0.954250
-1.745329,-2.951193,0.795221,0.967011
-1.681863,-2.951193,0.792580,0.975879
-1.618396,-2.951193,0.788032,0.980817
-1.554930,-2.951193,0.781550,0.981805
-1.491463,-2.951193,0.773066,0.978840
-1.427997,-2.951193,0.762473,0.971934
-1.364530,-2.951193,0.749615,0.961114
-1.301064,-2.951193,0.734576,0.946424
-1.237597,-2.951193,0.718535,0.927923
-1.174131,-2.951193,0.701599,0.905686
-1.110664,-2.951193,0.683698,0.879802
-1.047198,-2.951193,0.664751,0.850375
